Date,Open,High,Low,Close,Adj Close,Volume
11/02/2015,5.85,5.88,5.85,5.85,5.85,56794
12/02/2015,5.87,5.9,5.87,5.88,5.88,124265
13/02/2015,5.92,5.96,5.92,5.94,5.94,115137
16/02/2015,5.94,5.94,5.88,5.88,5.88,93152
17/02/2015,5.91,5.91,5.86,5.86,5.86,126605
18/02/2015,5.85,5.86,5.81,5.83,5.83,87084
19/02/2015,5.83,5.84,5.83,5.83,5.83,88419
20/02/2015,5.84,5.86,5.83,5.83,5.83,31884
23/02/2015,5.83,5.91,5.83,5.91,5.91,28633
24/02/2015,5.92,5.92,5.87,5.87,5.87,105344
25/02/2015,5.89,5.97,5.88,5.97,5.97,49585
26/02/2015,6,6.02,5.93,5.93,5.93,222031
27/02/2015,5.93,5.97,5.93,5.94,5.94,155246
02/03/2015,5.94,5.96,5.94,5.96,5.96,12000
03/03/2015,6,6,5.98,5.99,5.99,123237
04/03/2015,5.99,5.99,5.93,5.93,5.93,198437
05/03/2015,5.93,5.93,5.85,5.85,5.85,146125
06/03/2015,5.85,5.85,5.82,5.84,5.84,159961
09/03/2015,5.85,5.87,5.85,5.87,5.87,15749
10/03/2015,5.87,5.88,5.79,5.8,5.8,358981
11/03/2015,5.82,5.83,5.79,5.8,5.8,263933
12/03/2015,5.82,5.84,5.82,5.82,5.82,164851
13/03/2015,5.82,5.87,5.82,5.85,5.85,160208
16/03/2015,5.87,5.89,5.87,5.89,5.89,62337
17/03/2015,5.93,5.93,5.89,5.9,5.9,130735
18/03/2015,5.9,5.9,5.89,5.89,5.89,45574
19/03/2015,5.95,5.95,5.9,5.9,5.9,42267
20/03/2015,5.91,5.92,5.9,5.92,5.92,91228
23/03/2015,5.92,6,5.91,6,6,33849
24/03/2015,6,6,5.98,6,6,137431
25/03/2015,5.85,5.85,5.56,5.56,5.56,526045
26/03/2015,5.6,5.62,5.49,5.49,5.49,869232
27/03/2015,5.54,5.56,5.49,5.56,5.56,950359
30/03/2015,5.6,5.61,5.58,5.59,5.59,443057
31/03/2015,5.61,5.61,5.58,5.58,5.58,294744
01/04/2015,5.58,5.58,5.55,5.56,5.56,217376
02/04/2015,5.61,5.61,5.51,5.51,5.51,248703
07/04/2015,5.53,5.54,5.53,5.54,5.54,149480
08/04/2015,5.5,5.5,5.43,5.43,5.43,339166
09/04/2015,5.45,5.45,5.43,5.44,5.44,181231
10/04/2015,5.45,5.45,5.37,5.38,5.38,308323
13/04/2015,5.4,5.4,5.34,5.35,5.35,107265
14/04/2015,5.34,5.34,5.32,5.32,5.32,113560
15/04/2015,5.33,5.33,5.2,5.2,5.2,204090
16/04/2015,5.2,5.2,5.02,5.11,5.11,242684
